model,run_id,speaker,utt_start,utt_end,word,word_start,word_end,confidence
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,we're,0.0,0.24,0.5836792
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,good,0.24,0.48,0.9716797
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,all,0.48,0.79999995,0.11437988
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,certainly,0.79999995,1.04,0.08380127
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,is,1.04,1.1199999,0.71484375
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,in,1.1199999,1.1999999,0.18688965
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,the,1.1999999,1.4399999,0.4255371
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,police,1.4399999,1.76,0.94970703
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,department,1.76,2.24,0.9995117
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,do,2.24,2.32,0.81933594
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,you,2.32,2.3999999,0.9863281
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,have,2.3999999,2.48,0.9980469
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,your,2.48,2.56,0.8256836
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,license,2.56,2.96,0.7109375
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,0.0,3.46,registration,2.96,3.46,0.45129395
nova-2-meeting,20251117T020632Z_nova-2-meeting_conf90,1.0,4.3199997,6.42,no,4.3199997,4.7999997,0.9824219
