model,run_id,speaker,utt_start,utt_end,word,word_start,word_end,confidence
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,good,0.0,0.48,0.45108244
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,all,0.48,0.79999995,0.11674533
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,set,0.79999995,0.96,0.072704874
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,is,0.96,1.1999999,0.3224005
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,orlando,1.1999999,1.36,0.48200652
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,police,1.36,1.76,0.7121344
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,department,1.76,2.24,0.9335551
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,do,2.24,2.32,0.8064373
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,you,2.32,2.3999999,0.9833667
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,have,2.3999999,2.48,0.997514
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,your,2.48,2.56,0.77343273
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,license,2.56,2.96,0.6578354
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,registration,2.96,3.46,0.35159665
nova-2,20251117T020632Z_nova-2_conf80,0.0,0.0,4.18,no,3.6799998,4.18,0.9758745
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,you,4.7999997,4.88,0.6529249
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,don't,4.88,5.12,0.99932206
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,have,5.12,5.2,0.99934953
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,your,5.2,5.3599997,0.9928063
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,license,5.3599997,5.4799995,0.95924056
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,what,5.6,5.8399997,0.16574651
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,you,5.8399997,5.92,0.7089171
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,want,5.92,6.16,0.7469858
nova-2,20251117T020632Z_nova-2_conf80,0.0,4.7999997,6.66,alright,6.16,6.66,0.97779393
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,okay,7.12,7.44,0.9259349
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,you,7.44,7.6,0.4033862
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,roll,7.6,7.8399997,0.88765407
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,the,7.8399997,7.9199996,0.60160553
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,back,7.9199996,8.16,0.99382824
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,window,8.16,8.48,0.9972488
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,down,8.48,8.639999,0.9978307
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,about,8.639999,8.88,0.99811566
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,halfway,8.88,9.28,0.9595497
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,for,9.28,9.44,0.9914185
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,me,9.44,9.92,0.9428891
nova-2,20251117T020632Z_nova-2_conf80,0.0,7.12,10.42,what,9.92,10.42,0.6836422
nova-2,20251117T020632Z_nova-2_conf80,0.0,11.679999,12.639999,roll,11.679999,12.0,0.7999542
nova-2,20251117T020632Z_nova-2_conf80,0.0,11.679999,12.639999,the,12.0,12.08,0.9753069
nova-2,20251117T020632Z_nova-2_conf80,0.0,11.679999,12.639999,back,12.08,12.24,0.998796
nova-2,20251117T020632Z_nova-2_conf80,0.0,11.679999,12.639999,one,12.24,12.48,0.98485863
nova-2,20251117T020632Z_nova-2_conf80,0.0,11.679999,12.639999,about,12.48,12.639999,0.99686
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,okay,14.015,14.255,0.65209275
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,because,14.255,14.495,0.981808
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,the,14.495,14.655,0.9935853
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,reason,14.655,14.8949995,0.99621814
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,for,14.8949995,15.055,0.91567135
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,the,15.055,15.135,0.90024596
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,stop,15.135,15.375,0.99789524
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,is,15.375,15.455,0.99819845
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,your,15.455,15.615,0.9863136
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,tint,15.615,15.855,0.8290905
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,your,15.855,16.015,0.9844471
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,front,16.015,16.255,0.9973706
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,window,16.255,16.575,0.99847835
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,tint,16.575,16.815,0.9967573
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,is,16.815,17.055,0.99907815
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,illegal,17.055,17.455,0.99843293
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,and,17.455,17.615,0.5609656
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,so,17.615,17.775,0.99900204
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,is,17.775,17.855,0.99425393
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,this,17.855,18.015,0.9992755
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,one,18.015,18.515,0.99787223
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,step,18.735,19.055,0.17677352
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,away,19.055,19.375,0.70886505
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,roll,19.375,19.615,0.9823108
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,this,19.615,19.775,0.9955902
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,down,19.775,20.015,0.99841464
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,about,20.015,20.255,0.99838376
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,halfway,20.255,20.755,0.9956738
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,what,20.895,21.395,0.67239785
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,because,21.535,21.855,0.72682595
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,i'm,21.855,22.015,0.9986485
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,telling,22.015,22.255001,0.99942064
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,you,22.255001,22.415,0.999613
nova-2,20251117T020632Z_nova-2_conf80,0.0,14.015,22.915,to,22.415,22.915,0.95934004
nova-2,20251117T020632Z_nova-2_conf80,0.0,23.935,25.154999,about,23.935,24.255001,0.8032295
nova-2,20251117T020632Z_nova-2_conf80,0.0,23.935,25.154999,halfway,24.255001,24.654999,0.99694693
nova-2,20251117T020632Z_nova-2_conf80,0.0,23.935,25.154999,sir,24.654999,25.154999,0.99793094
nova-2,20251117T020632Z_nova-2_conf80,0.0,27.3,28.76,it's,27.3,27.460001,0.50522804
nova-2,20251117T020632Z_nova-2_conf80,0.0,27.3,28.76,halfway,27.460001,27.94,0.7666937
nova-2,20251117T020632Z_nova-2_conf80,0.0,27.3,28.76,roll,27.94,28.18,0.21928632
nova-2,20251117T020632Z_nova-2_conf80,0.0,27.3,28.76,it,28.18,28.26,0.8792126
nova-2,20251117T020632Z_nova-2_conf80,0.0,27.3,28.76,down,28.26,28.76,0.9905158
nova-2,20251117T020632Z_nova-2_conf80,0.0,30.42,31.24,a,30.42,30.58,0.93987244
nova-2,20251117T020632Z_nova-2_conf80,0.0,30.42,31.24,little,30.58,30.74,0.9999323
nova-2,20251117T020632Z_nova-2_conf80,0.0,30.42,31.24,more,30.74,31.24,0.99777746
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,there,31.7,31.94,0.79444855
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,is,31.94,32.1,0.67130136
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,no,32.1,32.18,0.60726553
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,you,32.34,32.42,0.44902444
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,don't,32.42,32.58,0.9405966
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,got,32.58,32.739998,0.61018026
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,a,32.739998,32.82,0.81933993
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,license,32.82,32.98,0.8758321
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,51,33.06,33.72,0.69246966
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,you,33.78,33.94,0.962595
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,don't,33.94,34.18,0.9997563
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,have,34.18,34.26,0.9987685
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,a,34.26,34.42,0.9985007
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,license,34.42,34.82,0.98070896
nova-2,20251117T020632Z_nova-2_conf80,1.0,31.7,35.94,1480mercy,34.9,35.94,0.73733103
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,alright,35.94,36.260002,0.98994255
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,can,36.260002,36.34,0.9968566
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,you,36.34,36.5,0.9893044
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,roll,36.5,36.66,0.9957306
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,this,36.66,36.82,0.89557296
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,down,36.82,37.059998,0.9992446
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,a,37.059998,37.14,0.99936324
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,little,37.14,37.3,0.9999409
nova-2,20251117T020632Z_nova-2_conf80,0.0,35.94,37.8,more,37.3,37.8,0.9968391
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,roll,38.435,38.595,0.6567261
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,it,38.595,38.755,0.9061112
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,down,38.755,39.155,0.99510765
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,from,39.155,39.555,0.55224204
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,sir,39.795,39.954998,0.87205786
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,just,39.954998,40.114998,0.99716336
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,roll,40.114998,40.274998,0.99715173
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,the,40.274998,40.355,0.9644293
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,window,40.355,40.595,0.6599501
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,down,40.595,40.835,0.8839794
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,about,40.835,40.915,0.633147
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,halfway,40.915,41.415,0.9854757
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,okay,41.555,41.954998,0.92408615
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,it's,41.954998,42.195,0.9958664
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,down,42.195,42.695,0.99683
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,sir,42.755,42.915,0.7922958
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,it's,42.915,43.155,0.98668754
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,not,43.155,43.235,0.97592056
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,alright,43.315,43.475,0.992872
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,you,43.475,43.635,0.99533194
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,know,43.635,43.715,0.9745603
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,what,43.715,44.215,0.8930594
nova-2,20251117T020632Z_nova-2_conf80,0.0,38.435,44.855,yeah,44.355,44.855,0.7075463
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,alright,45.795,46.114998,0.9415392
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,yeah,46.114998,46.355,0.9991507
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,2%,46.355,46.835,0.98887444
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,alright,46.835,46.995,0.997244
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,that's,46.995,47.235,0.9992497
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,the,47.235,47.395,0.99758136
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,reason,47.395,47.635,0.9784646
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,for,47.635,47.795,0.99830425
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,the,47.795,47.875,0.8639695
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,stock,47.875,48.195,0.95049584
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,sir,48.195,48.434998,0.7953212
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,your,48.434998,48.595,0.7824517
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,last,48.595,48.754997,0.9881655
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,teammate,48.754997,49.074997,0.4000873
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,you,49.074997,49.155,0.94386554
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,have,49.155,49.235,0.7960785
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,have,49.315,49.475,0.960785
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,you,49.475,49.555,0.9989968
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,ever,49.555,49.715,0.9932674
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,had,49.715,49.875,0.9951395
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,a,49.875,49.954998,0.9986929
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,license,49.954998,50.275,0.988931
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,out,50.275,50.355,0.9902068
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,of,50.355,50.434998,0.93102354
nova-2,20251117T020632Z_nova-2_conf80,0.0,45.795,50.934998,florida,50.434998,50.934998,0.9997131
nova-2,20251117T020632Z_nova-2_conf80,0.0,51.480003,52.22,yeah,51.480003,51.72,0.968467
nova-2,20251117T020632Z_nova-2_conf80,0.0,51.480003,52.22,yeah,51.72,52.22,0.77317405
nova-2,20251117T020632Z_nova-2_conf80,0.0,52.920002,53.9,what's,52.920002,53.24,0.9008939
nova-2,20251117T020632Z_nova-2_conf80,0.0,52.920002,53.9,wrong,53.24,53.4,0.96262735
nova-2,20251117T020632Z_nova-2_conf80,0.0,52.920002,53.9,suspended,53.4,53.9,0.98943925
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,yeah,54.440002,54.84,0.8068675
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,how,54.84,54.920002,0.92730135
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,long,54.920002,55.08,0.9987109
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,has,55.08,55.160004,0.8263621
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,it,55.160004,55.24,0.8460223
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,been,55.24,55.4,0.99808806
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,suspended,55.4,55.800003,0.99904484
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,for,55.800003,56.280003,0.9964986
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,i,56.280003,56.36,0.99734014
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,don't,56.36,56.68,0.99954665
nova-2,20251117T020632Z_nova-2_conf80,0.0,54.440002,57.18,know,56.68,57.18,0.999236
nova-2,20251117T020632Z_nova-2_conf80,0.0,57.64,59.18,hey,57.64,58.04,0.9718752
nova-2,20251117T020632Z_nova-2_conf80,0.0,57.64,59.18,i'm,58.04,58.280003,0.9981196
nova-2,20251117T020632Z_nova-2_conf80,0.0,57.64,59.18,good,58.280003,58.440002,0.9997398
nova-2,20251117T020632Z_nova-2_conf80,0.0,57.64,59.18,here,58.440002,58.68,0.89760643
nova-2,20251117T020632Z_nova-2_conf80,0.0,57.64,59.18,just,58.68,59.18,0.9926547
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,man,61.64,61.8,0.4614607
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,i,61.8,61.96,0.55968976
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,got,61.96,62.2,0.95568043
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,it,62.2,62.36,0.9481932
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,damn,62.36,62.84,0.7751844
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,dog,62.84,63.34,0.67085594
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,i,63.480003,63.64,0.816364
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,might,63.64,63.800003,0.82756764
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,as,63.800003,63.88,0.38331977
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,well,63.88,64.04,0.90859306
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,get,64.04,64.200005,0.92159355
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,out,64.200005,64.36,0.9273442
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,you,64.36,64.44,0.9575446
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,might,64.44,64.56,0.96030116
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,as,64.56,64.68,0.92034864
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,well,64.68,64.76,0.9906748
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,put,64.76,64.92,0.33636186
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,stay,65.16,65.32,0.7681515
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,in,65.32,65.4,0.99699533
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,the,65.4,65.48,0.99625117
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,car,65.48,65.72,0.99907696
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,for,65.72,65.8,0.9875589
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,right,65.8,66.225,0.932019
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,now,66.225,66.705,0.94196653
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,thank,66.705,66.865,0.31599694
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,you,66.865,67.104996,0.9581282
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,man,67.104996,67.265,0.8914571
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,you,67.265,67.424995,0.9770107
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,might,67.424995,67.585,0.9910159
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,as,67.585,67.744995,0.9981206
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,well,67.744995,67.905,0.99896383
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,pull,67.905,68.145,0.9914322
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,me,68.145,68.305,0.99955755
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,out,68.305,68.465,0.9962431
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,the,68.465,68.625,0.84074837
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,car,68.625,69.125,0.97655183
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,big,69.265,69.505,0.6856493
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,dog,69.505,69.905,0.9757737
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,i'm,69.905,69.985,0.9941003
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,gonna,69.985,70.225,0.567006
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,cut,70.225,70.384995,0.99546695
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,the,70.384995,70.545,0.99507564
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,car,70.545,70.784996,0.6327815
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,you,70.784996,70.945,0.8810232
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,can,70.945,71.104996,0.8124865
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,pull,71.104996,71.265,0.99356973
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,me,71.265,71.345,0.9996216
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,out,71.345,71.585,0.98884
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,alright,71.585,71.825,0.81412494
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,cut,71.825,71.985,0.98692685
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,the,71.985,72.064995,0.9977308
nova-2,20251117T020632Z_nova-2_conf80,1.0,61.64,74.965,car,72.064995,72.225,0.9988563
